D,R,L,S_media,Ciclos_por_bucle,Ciclos_por_acceso
64,1920,15360,106.1446695105,23273.200,12.12146
64,5120,40960,-171.2578249729,152696.600,29.82355
64,10240,81920,-104.0715471981,408560.400,39.89848
64,20480,163840,411.6715122506,359664.400,17.56174
512,6,384,3.2127859221,130.800,21.80000
512,18,1152,3.9817609703,246.800,13.71111
512,160,10240,7.2225368937,2209.600,13.81000
512,240,15360,20.7859634248,6309.800,26.29083
512,640,40960,-53.2179348633,59450.400,92.89125
512,1280,81920,43.2901870647,56164.000,43.87812
512,2560,163840,-30.9610741120,95557.000,37.32695
4096,1,384,-1.0899048667,50.000,50.00000
4096,2,1152,-3.2550499357,93.600,46.80000
4096,20,10240,-2.1904740595,519.000,25.95000
4096,30,15360,-3.5851249106,629.800,20.99333
4096,80,40960,-18.8146073473,1185.000,14.81250
4096,160,81920,21.5183175935,8104.000,50.65000
4096,320,163840,-20.0439704922,5519.200,17.24750
1,3072,384,139.9551760433,35072.400,11.41680
1,9216,1152,-80.7312329052,147174.700,15.96948
1,81920,10240,-495.6208834907,902135.600,11.01240
1,122880,15360,-823.9599419585,1346822.000,10.96047
1,327680,40960,-786.1029231116,6174564.000,18.84327
1,655360,81920,1173.6998760242,7261170.000,11.07967
1,1310720,163840,764.2477699059,16808547.400,12.82390
8,384,384,-17.4023861947,4048.600,10.54323
8,1152,1152,-17.9392240797,25282.400,21.94653
8,10240,10240,136.1436412321,113747.400,11.10814
8,15360,15360,-274.5301351485,168048.200,10.94064
8,40960,40960,-226.6612955330,450655.800,11.00234
8,81920,81920,-501.6807728986,2689001.000,32.82472
8,163840,163840,262.1781431624,1932655.200,11.79599
64,48,384,4.9011470717,1061.600,22.11667
64,144,1152,9.4769682439,2953.000,20.50694
64,1280,10240,35.6347693119,26451.800,20.66547
64,1920,15360,23.5537434209,34056.000,17.73750
64,5120,40960,61.4134238644,283145.600,55.30188
64,10240,81920,100.9014706783,179594.000,17.53848
64,20480,163840,237.7366003067,375112.800,18.31605
512,6,384,0.2268231764,122.200,20.36667
512,18,1152,-1.6155690782,497.800,27.65556
512,160,10240,6.6958159957,2063.400,12.89625
512,240,15360,47.0325248647,2692.000,11.21667
512,640,40960,27.9158032015,25506.000,39.85312
512,1280,81920,24.2149106707,27150.400,21.21125
512,2560,163840,11.4478274414,55077.800,21.51477
4096,1,384,-1.4760524190,44.400,44.40000
4096,2,1152,-3.2250091304,69.400,34.70000
4096,20,10240,14.4959379670,299.400,14.97000
4096,30,15360,7.4269804305,976.400,32.54667
4096,80,40960,-24.0874247528,3298.400,41.23000
4096,160,81920,37.1565905889,2542.600,15.89125
4096,320,163840,-1.7522795581,5066.600,15.83313
1,3072,384,32.0071156076,32664.800,10.63307
1,9216,1152,9.1602673680,205292.400,22.27565
1,81920,10240,755.4954699806,974097.000,11.89083
1,122880,15360,299.0790200434,1603832.800,13.05202
1,327680,40960,-698.1371244030,3578726.400,10.92141
1,655360,81920,1661.5118941523,7182434.400,10.95953
1,1310720,163840,-381.5098969697,14337630.600,10.93874
8,384,384,-22.2318088930,4063.200,10.58125
8,1152,1152,28.8333296696,25286.400,21.95000
8,10240,10240,12.6552814886,123066.600,12.01822
8,15360,15360,-54.3224296581,170778.200,11.11837
8,40960,40960,-468.3554474881,469985.600,11.47426
8,81920,81920,82.0651569683,971013.000,11.85319
8,163840,163840,404.6925871077,2072940.000,12.65222
64,48,384,9.1421979238,536.600,11.17917
64,144,1152,51.9836390335,2953.600,20.51111
64,1280,10240,-29.6343378367,13852.000,10.82188
64,1920,15360,-9.6225213835,22534.000,11.73646
64,5120,40960,-47.7129360990,77194.400,15.07703
64,10240,81920,145.6440888535,162044.400,15.82465
64,20480,163840,-46.6400936547,336643.200,16.43766
512,6,384,0.6500769931,124.200,20.70000
512,18,1152,3.0989821554,460.800,25.60000
512,160,10240,-16.1392562427,4210.200,26.31375
512,240,15360,16.1381294020,4495.200,18.73000
512,640,40960,34.9616157580,38479.600,60.12438
512,1280,81920,96.0528583508,22730.800,17.75844
512,2560,163840,-24.4762564099,39988.400,15.62047
4096,1,384,1.0808011294,64.800,64.80000
4096,2,1152,2.8746795346,81.600,40.80000
4096,20,10240,-8.2893887471,417.200,20.86000
4096,30,15360,0.5630630239,463.200,15.44000
4096,80,40960,-8.3324189476,4862.400,60.78000
4096,160,81920,-19.1656184905,2108.800,13.18000
4096,320,163840,4.2638523985,4296.400,13.42625
1,3072,384,152.6609496268,32742.600,10.65840
1,9216,1152,-171.8419429384,162912.200,17.67711
1,81920,10240,677.8785229604,911340.400,11.12476
1,122880,15360,888.9774680026,1506597.000,12.26072
1,327680,40960,514.4657173080,9390398.000,28.65722
1,655360,81920,-1626.0834146384,7082992.000,10.80779
1,1310720,163840,-1590.8815242563,14439749.200,11.01665
8,384,384,-8.1587479809,4065.400,10.58698
8,1152,1152,31.8998265881,19278.800,16.73507
8,10240,10240,-35.0400370076,181541.800,17.72869
8,15360,15360,167.4381387222,168587.800,10.97577
8,40960,40960,-8.8485047048,733244.800,17.90148
8,81920,81920,-513.3663115396,1593364.200,19.45025
8,163840,163840,566.9088853774,1947448.600,11.88628
64,48,384,-1.6168338333,534.600,11.13750
64,144,1152,-3.3698532723,3339.400,23.19028
64,1280,10240,-24.4222244520,14400.200,11.25016
64,1920,15360,87.6056661278,28985.400,15.09656
64,5120,40960,-109.9135718974,116203.400,22.69598
64,10240,81920,116.6671540424,206902.400,20.20531
64,20480,163840,-294.9444883945,400128.000,19.53750
512,6,384,4.7815995658,115.600,19.26667
512,18,1152,-0.2017440243,231.200,12.84444
512,160,10240,12.9263098309,1697.800,10.61125
512,240,15360,-47.7620609145,2730.200,11.37583
512,640,40960,-75.0334951696,17415.800,27.21219
512,1280,81920,-86.6771248382,19019.800,14.85922
512,2560,163840,130.1696299911,47455.800,18.53742
4096,1,384,-1.3434012776,54.000,54.00000
4096,2,1152,3.4554529667,83.800,41.90000
4096,20,10240,-2.6766171635,231.600,11.58000
4096,30,15360,-2.9133090404,408.400,13.61333
4096,80,40960,3.8325354754,1048.400,13.10500
4096,160,81920,-28.4487374767,2108.800,13.18000
4096,320,163840,-0.6462857060,4162.800,13.00875
