D,R,L,S_media,Ciclos_por_bucle,Ciclos_por_acceso
4096,2,1152,-2.9874693816,27.600,13.80000
4096,20,10240,18.0808873373,158.200,7.91000
4096,30,15360,-22.8908491148,255.000,8.50000
4096,80,40960,-4.6711459773,761.200,9.51500
4096,160,81920,-29.3095469206,1764.800,11.03000
4096,320,163840,65.3377605254,3367.200,10.52250
1,3072,384,19.2670585575,23173.800,7.54355
1,9216,1152,-43.3591735882,66465.200,7.21194
1,81920,10240,504.0092201736,595433.600,7.26848
1,122880,15360,200.5237138623,880875.200,7.16858
1,327680,40960,962.4584130447,2355667.600,7.18893
1,655360,81920,-2533.9750156333,4697982.800,7.16855
1,1310720,163840,-1577.9678473832,9501464.200,7.24904
8,384,384,-75.9828352095,2741.400,7.13906
8,1152,1152,65.0013345904,8212.000,7.12847
8,10240,10240,-7.9951006505,74176.600,7.24381
8,15360,15360,384.8921545022,117529.000,7.65163
8,40960,40960,-337.5470118306,307732.600,7.51300
8,81920,81920,-117.2668253078,613625.800,7.49055
8,163840,163840,-327.8766614287,1301467.000,7.94352
64,48,384,-0.0112413261,351.000,7.31250
64,144,1152,9.9306151410,1034.600,7.18472
64,1280,10240,-15.8294919528,9214.400,7.19875
64,1920,15360,26.4036800845,14437.400,7.51948
64,5120,40960,-24.2288147352,45884.600,8.96184
64,10240,81920,0.3009484682,94384.000,9.21719
64,20480,163840,-45.4543774517,208715.400,10.19118
512,6,384,-0.2441509791,56.800,9.46667
512,18,1152,0.1656236756,131.000,7.27778
512,160,10240,-9.8980995113,1182.200,7.38875
512,240,15360,-1.1774544475,1784.600,7.43583
512,640,40960,-51.6836498993,5695.600,8.89937
512,1280,81920,-1.5430014718,11101.000,8.67266
512,2560,163840,-35.5357077259,50169.800,19.59758
4096,1,384,1.7238925187,32.400,32.40000
4096,2,1152,-2.6397870731,32.800,16.40000
4096,20,10240,2.0953576449,163.000,8.15000
4096,30,15360,-11.5202187433,237.400,7.91333
4096,80,40960,-12.0072127921,694.600,8.68250
4096,160,81920,15.8264724095,1440.000,9.00000
4096,320,163840,-11.8523233332,5611.200,17.53500
1,3072,384,47.1060509747,21761.000,7.08366
1,9216,1152,-220.2713510246,66714.000,7.23893
1,81920,10240,-247.1362127606,592042.000,7.22708
1,122880,15360,438.4595636998,894363.400,7.27835
1,327680,40960,193.3811754535,2340230.800,7.14182
1,655360,81920,533.8728449908,4739473.400,7.23186
1,1310720,163840,448.6665176310,9693535.200,7.39558
8,384,384,-23.6945614753,2745.200,7.14896
8,1152,1152,-91.3435310127,8212.600,7.12899
8,10240,10240,-36.0579473372,75939.600,7.41598
8,15360,15360,-108.1891032598,112563.000,7.32832
8,40960,40960,-381.6701862927,313017.000,7.64202
8,81920,81920,64.2215696779,616371.200,7.52406
8,163840,163840,325.6177084621,1276078.800,7.78857
64,48,384,4.8998955069,340.000,7.08333
64,144,1152,20.0108051566,1047.800,7.27639
64,1280,10240,18.5207686003,10664.800,8.33188
64,1920,15360,69.9639616995,14073.800,7.33010
64,5120,40960,283.7959242313,58500.600,11.42590
64,10240,81920,-32.8179350383,95887.800,9.36404
64,20480,163840,283.1858256679,227523.000,11.10952
512,6,384,5.5778180424,59.200,9.86667
512,18,1152,-2.7715341518,140.200,7.78889
512,160,10240,22.0062849028,1174.400,7.34000
512,240,15360,-9.3462791361,1961.000,8.17083
512,640,40960,-29.2932829677,8057.800,12.59031
512,1280,81920,-25.9308043443,25679.000,20.06172
512,2560,163840,38.9367837142,30745.400,12.00992
4096,1,384,-1.2259262066,24.000,24.00000
4096,2,1152,0.5881514920,35.600,17.80000
4096,20,10240,0.1631479483,153.800,7.69000
4096,30,15360,15.6566623974,237.600,7.92000
4096,80,40960,-7.1871927302,666.000,8.32500
4096,160,81920,2.6275048603,1382.400,8.64000
4096,320,163840,-6.8761303950,3829.000,11.96562
1,3072,384,17.3383118377,21762.000,7.08398
1,9216,1152,-25.0664714556,65257.000,7.08084
1,81920,10240,458.4318214890,586457.400,7.15890
1,122880,15360,392.7483774390,890887.400,7.25006
1,327680,40960,231.1212237906,2359846.600,7.20168
1,655360,81920,934.8950551883,4718561.000,7.19995
1,1310720,163840,596.4854715479,9413631.000,7.18203
8,384,384,-14.7699074828,2737.200,7.12812
8,1152,1152,66.8639034675,10724.400,9.30937
8,10240,10240,377.8612588513,77852.400,7.60277
8,15360,15360,209.0273410380,116390.000,7.57747
8,40960,40960,-148.7912981756,322953.400,7.88460
8,81920,81920,492.2065342880,660346.200,8.06087
8,163840,163840,360.2216326023,1716510.600,10.47675
64,48,384,11.7243751323,339.000,7.06250
64,144,1152,-3.3062911291,1032.400,7.16944
64,1280,10240,-33.7726138298,9653.000,7.54141
64,1920,15360,-66.7150421081,14472.600,7.53781
64,5120,40960,-23.0755650904,47623.400,9.30145
64,10240,81920,-90.2875141130,102819.600,10.04098
64,20480,163840,223.0347129018,254579.000,12.43062
512,6,384,-0.1142296494,54.200,9.03333
512,18,1152,6.4931212391,135.000,7.50000
512,160,10240,2.7997924359,1231.200,7.69500
512,240,15360,4.4693069279,2584.000,10.76667
512,640,40960,-10.7288246950,13375.000,20.89844
512,1280,81920,3.4507479325,28418.000,22.20156
512,2560,163840,41.8684142567,102832.800,40.16906
4096,1,384,1.1670953241,34.200,34.20000
4096,2,1152,0.2011029493,35.600,17.80000
4096,20,10240,6.2415035820,184.000,9.20000
4096,30,15360,-12.5715309929,248.600,8.28667
4096,80,40960,2.6579297528,751.400,9.39250
4096,160,81920,-18.3024008424,1625.400,10.15875
4096,320,163840,-16.4276086806,6484.600,20.26438
1,3072,384,-8.5033976284,22437.200,7.30378
1,9216,1152,-180.9956146786,67490.800,7.32322
1,81920,10240,-252.3736891203,591882.000,7.22512
1,122880,15360,-40.7366986008,886053.600,7.21072
1,327680,40960,719.0706589818,2359166.800,7.19961
1,655360,81920,241.1324851565,4761898.400,7.26608
1,1310720,163840,-351.8269001394,9493041.000,7.24262
8,384,384,6.9802628960,2741.000,7.13802
8,1152,1152,-81.8132995138,8233.200,7.14687
8,10240,10240,-6.1108653062,75069.000,7.33096
8,15360,15360,-454.8001348725,116708.600,7.59822
8,40960,40960,231.7531109297,310001.000,7.56838
8,81920,81920,-128.4279503582,618792.200,7.55362
8,163840,163840,688.1218660460,1295238.600,7.90551
64,48,384,-5.7239003446,336.800,7.01667
64,144,1152,17.7854943852,1047.000,7.27083
64,1280,10240,-5.8244794243,9302.200,7.26734
64,1920,15360,21.3856051082,15799.800,8.22906
64,5120,40960,-44.0788362218,43242.000,8.44570
64,10240,81920,-276.5600566247,94590.200,9.23732
64,20480,163840,103.2509844924,224314.600,10.95286
512,6,384,-3.0343210083,57.000,9.50000
512,18,1152,-4.9575613551,137.200,7.62222
512,160,10240,6.0865106504,1159.000,7.24375
512,240,15360,10.7779490108,1821.800,7.59083
512,640,40960,39.5307803929,5641.200,8.81438
512,1280,81920,-1.4339951409,13453.800,10.51078
512,2560,163840,-1.2918958875,39438.800,15.40578
4096,1,384,-1.1434798251,28.400,28.40000
4096,2,1152,0.3793582830,35.200,17.60000
4096,20,10240,10.6293123395,156.400,7.82000
4096,30,15360,11.9671665346,244.600,8.15333
4096,80,40960,-1.7093504629,715.200,8.94000
4096,160,81920,-2.7841949765,1430.200,8.93875
4096,320,163840,11.4083684471,5735.600,17.92375
1,3072,384,-167.6258942776,21760.400,7.08346
1,9216,1152,118.1788443393,66878.200,7.25675
1,81920,10240,-923.7660089604,584608.600,7.13634
1,122880,15360,-16.2031549183,890386.400,7.24598
1,327680,40960,290.2898929041,2527560.200,7.71350
1,655360,81920,120.7173557154,5268059.800,8.03842
1,1310720,163840,762.1767344610,9622965.400,7.34174
8,384,384,-18.5090088199,2754.400,7.17292
8,1152,1152,28.4511029094,8222.000,7.13715
8,10240,10240,14.0620173733,74088.000,7.23516
8,15360,15360,348.8729080613,112510.200,7.32488
8,40960,40960,-161.7505228295,312325.000,7.62512
8,81920,81920,841.6810079798,630826.600,7.70052
8,163840,163840,1054.7765009728,1296353.400,7.91231
64,48,384,14.6089315115,338.800,7.05833
64,144,1152,0.3424606683,1054.200,7.32083
64,1280,10240,-14.4703050742,9318.800,7.28031
64,1920,15360,-30.1278172113,16839.400,8.77052
64,5120,40960,48.4135818842,41660.000,8.13672
64,10240,81920,38.1566787745,188191.600,18.37809
64,20480,163840,129.2353895899,223233.000,10.90005
512,6,384,2.9813197404,55.000,9.16667
512,18,1152,6.8508012629,138.400,7.68889
512,160,10240,14.5351642620,1178.000,7.36250
512,240,15360,-9.5289977694,1802.600,7.51083
512,640,40960,23.2245602870,7978.400,12.46625
512,1280,81920,-17.3383207560,20308.000,15.86562
512,2560,163840,231.3400807834,56336.000,22.00625
4096,1,384,-1.6244335154,32.400,32.40000
4096,2,1152,2.8537737922,33.400,16.70000
4096,20,10240,-8.2769321959,172.000,8.60000
4096,30,15360,7.4516465168,254.400,8.48000
4096,80,40960,-0.7468889313,720.200,9.00250
4096,160,81920,35.9508603555,1440.800,9.00500
4096,320,163840,21.6070528075,5716.000,17.86250
1,3072,384,-10.0208715173,21757.000,7.08236
1,9216,1152,154.4662662071,67319.800,7.30467
1,81920,10240,341.3191094391,588965.200,7.18952
1,122880,15360,306.0077874227,877134.800,7.13814
1,327680,40960,1073.8349047540,2384671.400,7.27744
1,655360,81920,-237.7822450091,4750933.400,7.24935
1,1310720,163840,878.7045540631,9606926.400,7.32950
8,384,384,6.1468717424,2737.000,7.12760
8,1152,1152,-9.3201576948,8208.000,7.12500
8,10240,10240,55.9574011070,74683.600,7.29332
8,15360,15360,-217.0556658679,111902.200,7.28530
8,40960,40960,-404.6232680262,311005.600,7.59291
8,81920,81920,129.6905185476,646409.000,7.89073
8,163840,163840,80.4317398153,1339737.000,8.17711
64,48,384,3.5108461876,338.200,7.04583
64,144,1152,-7.1821550202,1032.000,7.16667
64,1280,10240,-49.3138760209,9203.800,7.19047
64,1920,15360,-47.0866945871,14560.000,7.58333
64,5120,40960,116.9353688350,45774.400,8.94031
64,10240,81920,110.5805461577,95629.200,9.33879
64,20480,163840,-18.4812249343,200891.000,9.80913
512,6,384,-2.3502608893,55.400,9.23333
512,18,1152,-9.9881209829,140.800,7.82222
512,160,10240,35.1010437422,1183.000,7.39375
512,240,15360,13.1489041160,1837.400,7.65583
512,640,40960,26.9861012776,10051.200,15.70500
512,1280,81920,-9.1206130931,17858.600,13.95203
512,2560,163840,-141.7329359258,44260.600,17.28930
4096,1,384,-1.7395589099,27.400,27.40000
4096,2,1152,-3.0936831045,30.200,15.10000
4096,20,10240,7.8125276867,157.000,7.85000
4096,30,15360,2.0448450283,251.600,8.38667
4096,80,40960,9.1637655418,710.800,8.88500
4096,160,81920,-4.5983471231,1414.200,8.83875
4096,320,163840,21.6587733187,6409.400,20.02938
1,3072,384,-48.2634467344,21761.400,7.08379
1,9216,1152,-98.9165389780,66287.200,7.19262
1,81920,10240,552.5658049651,597630.600,7.29530
1,122880,15360,159.3659832060,885646.400,7.20741
1,327680,40960,-372.5623032658,2391626.200,7.29866
1,655360,81920,1234.6801668991,4712309.600,7.19041
1,1310720,163840,939.1044086796,9552404.000,7.28791
8,384,384,-26.7112680104,2740.000,7.13542
8,1152,1152,61.3458922707,8212.600,7.12899
8,10240,10240,141.5062935462,75874.200,7.40959
8,15360,15360,-125.3942608956,111823.600,7.28018
8,40960,40960,191.3829463825,313316.600,7.64933
8,81920,81920,184.2322696029,631570.400,7.70960
8,163840,163840,-720.7334074661,1283827.200,7.83586
64,48,384,-2.4973701665,349.800,7.28750
64,144,1152,4.9376899926,1033.200,7.17500
64,1280,10240,-60.1485088305,10253.400,8.01047
64,1920,15360,29.7372360419,15490.400,8.06792
64,5120,40960,90.1471819655,44782.200,8.74652
64,10240,81920,313.7070937630,99355.400,9.70268
64,20480,163840,-131.4469723741,215855.200,10.53980
512,6,384,2.2050325327,49.800,8.30000
512,18,1152,-7.1945323097,137.400,7.63333
512,160,10240,-32.4835355447,1191.600,7.44750
512,240,15360,-2.5066098345,1799.600,7.49833
512,640,40960,60.8895100015,5097.000,7.96406
512,1280,81920,6.8094539097,20703.800,16.17484
512,2560,163840,-109.0453057084,54084.600,21.12680
4096,1,384,-1.8888992494,23.600,23.60000
4096,2,1152,2.5653254816,30.000,15.00000
4096,20,10240,4.4195007204,170.600,8.53000
4096,30,15360,-6.3057894242,243.600,8.12000
4096,80,40960,-27.6079366014,658.800,8.23500
4096,160,81920,30.8749876846,1551.600,9.69750
4096,320,163840,-14.1036344707,4945.400,15.45438
1,3072,384,-142.1467079153,21750.800,7.08034
1,9216,1152,174.2296510140,65623.200,7.12057
1,81920,10240,-550.4949518007,591887.600,7.22519
1,122880,15360,276.2322043554,883830.800,7.19263
1,327680,40960,-1168.0509672384,2368268.600,7.22738
1,655360,81920,-129.4759359236,4736815.200,7.22781
1,1310720,163840,1422.7359701924,9622919.400,7.34170
8,384,384,27.3218049544,2737.600,7.12917
8,1152,1152,36.1965298076,8221.000,7.13628
8,10240,10240,-281.1620377554,74799.600,7.30465
8,15360,15360,-1.2275685636,111717.200,7.27326
8,40960,40960,106.3275923432,314700.800,7.68313
8,81920,81920,-627.1437555850,612128.200,7.47227
8,163840,163840,1368.5202149556,1375609.200,8.39605
64,48,384,-14.3769275916,338.600,7.05417
64,144,1152,-0.5428400559,1033.200,7.17500
64,1280,10240,0.7552118780,9767.000,7.63047
64,1920,15360,30.1022693376,15770.600,8.21385
64,5120,40960,-63.2158266870,56089.800,10.95504
64,10240,81920,164.6040158028,100228.200,9.78791
64,20480,163840,-308.6733135789,226295.000,11.04956
512,6,384,0.2522186587,56.000,9.33333
512,18,1152,-0.6193159728,140.000,7.77778
512,160,10240,-26.9046119945,1724.000,10.77500
512,240,15360,23.2275676328,2468.200,10.28417
512,640,40960,12.3149182588,6917.600,10.80875
512,1280,81920,4.6251889452,17020.800,13.29750
512,2560,163840,97.2415864967,49660.800,19.39875
4096,1,384,-1.5213432105,20.800,20.80000
4096,2,1152,2.8330328557,30.600,15.30000
4096,20,10240,-7.6780769963,157.800,7.89000
4096,30,15360,6.1598612569,238.800,7.96000
4096,80,40960,1.1962798881,683.400,8.54250
4096,160,81920,-19.8433445705,1585.000,9.90625
4096,320,163840,-35.8279355060,5444.800,17.01500
