D,R,L,S_media,Ciclos_por_bucle,Ciclos_por_acceso
1,3072,384,-38.8466923124,21758.200,7.08275
1,9216,1152,-2.3504622673,67265.800,7.29881
1,81920,10240,235.8281547552,591401.200,7.21925
1,122880,15360,-527.6624644844,893704.400,7.27299
1,327680,40960,-579.8304651649,2356179.200,7.19049
1,655360,81920,-1524.9835698460,4750347.200,7.24845
1,1310720,163840,227.9926218567,9477711.600,7.23092
8,384,384,5.5434027484,2739.800,7.13490
8,1152,1152,51.9846430323,8207.400,7.12448
8,10240,10240,220.8408483331,74713.600,7.29625
8,15360,15360,-192.3996708362,112406.400,7.31813
8,40960,40960,423.4101919347,343864.400,8.39513
8,81920,81920,-464.2250539475,625011.800,7.62954
8,163840,163840,-333.4756040608,1299452.400,7.93123
64,48,384,11.2952144706,337.000,7.02083
64,144,1152,-31.1134541249,1038.200,7.20972
64,1280,10240,-56.0652941065,9169.600,7.16375
64,1920,15360,-61.3718168025,15343.200,7.99125
64,5120,40960,-109.8179247378,50001.400,9.76590
64,10240,81920,68.3097033339,96880.000,9.46094
64,20480,163840,-88.9735904396,184791.800,9.02304
512,6,384,4.0153412358,55.200,9.20000
512,18,1152,9.1812123238,144.000,8.00000
512,160,10240,-20.5732369477,1160.000,7.25000
512,240,15360,1.4464767712,2236.800,9.32000
512,640,40960,-22.1211421355,9320.000,14.56250
512,1280,81920,-7.8434500517,11403.600,8.90906
512,2560,163840,-131.9063419709,30669.400,11.98023
4096,1,384,1.7022121622,31.800,31.80000
4096,2,1152,0.4437984500,32.200,16.10000
4096,20,10240,2.4218994763,165.400,8.27000
4096,30,15360,-0.7328655402,255.400,8.51333
4096,80,40960,12.1097344892,792.800,9.91000
4096,160,81920,-35.2236257979,1465.800,9.16125
4096,320,163840,-15.1609693738,5043.000,15.75938
1,3072,384,57.8457375191,21770.600,7.08678
1,9216,1152,-126.2339624521,65555.200,7.11319
1,81920,10240,-882.6329230176,591160.800,7.21632
1,122880,15360,-10.8975494504,882467.400,7.18154
1,327680,40960,1544.3972695933,2363157.400,7.21178
1,655360,81920,1800.6143133396,4774919.600,7.28595
1,1310720,163840,-830.8276775041,9533090.600,7.27317
8,384,384,-91.4459022858,2730.000,7.10938
8,1152,1152,-78.9385687280,8206.200,7.12344
8,10240,10240,-148.3294042411,74565.000,7.28174
8,15360,15360,1.4486080149,120395.800,7.83827
8,40960,40960,-408.8860699254,320743.200,7.83064
8,81920,81920,-110.2226096393,640065.600,7.81330
8,163840,163840,-282.8526058336,1266026.600,7.72721
64,48,384,4.6814638766,340.600,7.09583
64,144,1152,-2.9829793903,1052.800,7.31111
64,1280,10240,-82.3962831476,9204.400,7.19094
64,1920,15360,48.6691663916,15446.400,8.04500
64,5120,40960,-115.6531101510,41717.200,8.14789
64,10240,81920,61.2099974231,84682.800,8.26980
64,20480,163840,-58.4869342961,195352.800,9.53871
512,6,384,-2.2290207535,56.800,9.46667
512,18,1152,0.9419047255,136.800,7.60000
512,160,10240,-7.9154104441,1183.200,7.39500
512,240,15360,5.3964321732,1799.600,7.49833
512,640,40960,14.6054772528,8117.800,12.68406
512,1280,81920,28.2566728840,22845.800,17.84828
512,2560,163840,5.7332788877,59391.800,23.19992
4096,1,384,-1.9243743093,23.600,23.60000
