D,R,L,S_media,Ciclos_por_bucle,Ciclos_por_acceso
1,6144,384,58210.0000000000,41246.600,6.71331
1,18432,1152,-91831.0000000000,128966.400,6.99688
1,163840,10240,158718.0000000000,1121148.600,6.84295
1,245760,15360,266404.0000000000,1667696.200,6.78587
1,655360,40960,435464.0000000000,4466322.600,6.81507
1,1310720,81920,428531.0000000000,9102520.400,6.94467
1,2621440,163840,607168.0000000000,18036500.000,6.88038
8,768,384,15344.0000000000,5176.000,6.73958
8,2304,1152,4411.0000000000,15631.200,6.78437
8,20480,10240,108606.0000000000,139355.000,6.80444
8,30720,15360,121560.0000000000,211395.200,6.88135
8,81920,40960,-197601.0000000000,574754.800,7.01605
8,163840,81920,269445.0000000000,1165639.400,7.11450
8,327680,163840,-193491.0000000000,2340427.200,7.14242
64,96,384,-3907.0000000000,667.000,6.94792
64,288,1152,-14265.0000000000,2066.600,7.17569
64,2560,10240,1363.0000000000,18171.200,7.09812
64,3840,15360,2163.0000000000,28142.800,7.32885
64,10240,40960,-8503.0000000000,93669.800,9.14744
64,20480,81920,132486.0000000000,172412.800,8.41859
64,40960,163840,-98680.0000000000,461809.800,11.27465
512,12,384,-2293.0000000000,99.000,8.25000
512,36,1152,6492.0000000000,277.400,7.70556
512,320,10240,-715.0000000000,2627.600,8.21125
512,480,15360,12642.0000000000,4466.800,9.30583
512,1280,40960,6268.0000000000,10664.800,8.33188
512,2560,81920,-70057.0000000000,23834.000,9.31016
512,5120,163840,67020.0000000000,51323.400,10.02410
4096,1,384,265.0000000000,34.600,34.60000
4096,4,1152,1001.0000000000,44.400,11.10000
4096,40,10240,4155.0000000000,291.000,7.27500
4096,60,15360,799.0000000000,527.200,8.78667
4096,160,40960,6381.0000000000,2237.000,13.98125
4096,320,81920,-14808.0000000000,3070.800,9.59625
4096,640,163840,-21227.0000000000,11608.600,18.13844
1,6144,384,-59893.0000000000,41221.600,6.70924
1,18432,1152,-35346.0000000000,125750.800,6.82242
1,163840,10240,239359.0000000000,1132961.000,6.91505
1,245760,15360,-263179.0000000000,1694198.200,6.89371
1,655360,40960,-274627.0000000000,4479670.200,6.83543
1,1310720,81920,72799.0000000000,9032462.600,6.89122
1,2621440,163840,-5509.0000000000,18269237.800,6.96916
8,768,384,9232.0000000000,5192.800,6.76146
8,2304,1152,-17058.0000000000,15651.600,6.79323
8,20480,10240,17559.0000000000,140564.600,6.86351
8,30720,15360,-100323.0000000000,212828.600,6.92801
8,81920,40960,106103.0000000000,570654.000,6.96599
8,163840,81920,317870.0000000000,1146588.400,6.99822
8,327680,163840,248391.0000000000,2372882.000,7.24146
64,96,384,-4820.0000000000,650.400,6.77500
64,288,1152,-16973.0000000000,2065.800,7.17292
64,2560,10240,-4176.0000000000,18270.000,7.13672
64,3840,15360,-39530.0000000000,27330.200,7.11724
64,10240,40960,109899.0000000000,87881.200,8.58215
64,20480,81920,-20492.0000000000,192253.400,9.38737
64,40960,163840,134179.0000000000,433681.800,10.58793
512,12,384,1500.0000000000,102.000,8.50000
512,36,1152,-1261.0000000000,284.000,7.88889
512,320,10240,-16007.0000000000,2408.600,7.52688
512,480,15360,1872.0000000000,3458.600,7.20542
512,1280,40960,24034.0000000000,12575.200,9.82437
512,2560,81920,6361.0000000000,21203.400,8.28258
512,5120,163840,-91916.0000000000,51230.600,10.00598
4096,1,384,437.0000000000,32.400,32.40000
4096,4,1152,920.0000000000,43.600,10.90000
4096,40,10240,-76.0000000000,294.400,7.36000
4096,60,15360,-7761.0000000000,460.600,7.67667
4096,160,40960,15158.0000000000,1288.200,8.05125
4096,320,81920,-1212.0000000000,3057.800,9.55562
4096,640,163840,2601.0000000000,11419.600,17.84313
1,6144,384,-49935.0000000000,45457.800,7.39873
1,18432,1152,-64953.0000000000,128968.400,6.99698
1,163840,10240,-17341.0000000000,1127467.800,6.88152
1,245760,15360,129768.0000000000,1677478.600,6.82568
1,655360,40960,-296770.0000000000,4489691.800,6.85073
1,1310720,81920,-838824.0000000000,9091489.400,6.93626
1,2621440,163840,1179490.0000000000,18462493.600,7.04288
8,768,384,-5062.0000000000,5196.400,6.76615
8,2304,1152,-18962.0000000000,16449.600,7.13958
8,20480,10240,-42513.0000000000,141739.400,6.92087
8,30720,15360,-112031.0000000000,211662.400,6.89005
8,81920,40960,-190180.0000000000,578067.600,7.05649
8,163840,81920,-204524.0000000000,1182497.800,7.21739
8,327680,163840,105122.0000000000,2413456.400,7.36528
64,96,384,2200.0000000000,666.400,6.94167
64,288,1152,-2725.0000000000,2065.800,7.17292
64,2560,10240,2325.0000000000,18722.200,7.31336
64,3840,15360,-595.0000000000,28451.600,7.40927
64,10240,40960,-78457.0000000000,106650.600,10.41510
64,20480,81920,-93407.0000000000,200693.600,9.79949
64,40960,163840,218065.0000000000,376485.400,9.19154
512,12,384,1444.0000000000,104.200,8.68333
512,36,1152,-6661.0000000000,275.200,7.64444
512,320,10240,-1519.0000000000,2303.200,7.19750
512,480,15360,5624.0000000000,3443.400,7.17375
512,1280,40960,-18444.0000000000,10061.000,7.86016
